id,chapter,question,question_image,choice1,choice1_explanation,choice2,choice2_explanation,choice3,choice3_explanation,choice4,choice4_explanation,choice5,choice5_explanation,choice6,choice6_explanation,choice7,choice7_explanation,choice8,choice8_explanation,answer,explanation
11,修了試験A-1,"k次元のワンホットベクトルで構成されるデータがマルチヌーイ分布に従っていると仮定する。また、xiの第j成分をxijと書くことにする。ただし、以下の式で示す性質を満たすとする。このとき、尤度関数は（　あ　）であり、負の対数尤度関数は（　い　）である。（　い　）は情報理論における（　う　）であり、機械学習において損失関数としてよく用いられる。

p = (p₁, …, p_k)ᵀ、 Σ_{j=1}^{k} pⱼ = 1、 0 ≤ pⱼ ≤ 1 (j = 1, …, k)

空欄（　あ　）に当てはまる選択肢を以下のうちから1つ選べ。",images/A-1/onehot_prob_formula.png,A,省略,B,省略,C,省略,D,省略,,,,,,,,,2,マルチヌーイ分布(カテゴリカル分布のn回試行版)の尤度は、各データ点iについて、選ばれたカテゴリjの確率pⱼをxᵢⱼ乗した積を、さらに全データ点iについて積を取った ΠᵢΠⱼ pⱼ^xᵢⱼ という形になります。ワンホット表現ではxᵢⱼが0か1のいずれかなので、この式は「正解カテゴリの確率だけが掛け合わされる」ことと等価です。
12,修了試験A-1,"k次元のワンホットベクトルで構成されるデータがマルチヌーイ分布に従っていると仮定する。また、xiの第j成分をxijと書くことにする。ただし、以下の式で示す性質を満たすとする。このとき、尤度関数は（　あ　）であり、負の対数尤度関数は（　い　）である。（　い　）は情報理論における（　う　）であり、機械学習において損失関数としてよく用いられる。

p = (p₁, …, p_k)ᵀ、 Σ_{j=1}^{k} pⱼ = 1、 0 ≤ pⱼ ≤ 1 (j = 1, …, k)

空欄（　い　）に当てはまる選択肢を以下のうちから1つ選べ。",images/A-1/onehot_logloss_formula.png,A,省略,B,省略,C,省略,D,省略,,,,,,,,,2,尤度 Π_iΠ_j p_j^{x_ij} の対数を取ると Σ_iΣ_j x_ij log p_j となり、負の対数尤度は -Σ_iΣ_j x_ij log p_j です。これは多クラス分類でおなじみの「交差エントロピー損失」そのものであり、深層学習の分類タスクで損失関数として日常的に使われています。
13,修了試験A-1,"k次元のワンホットベクトルで構成されるデータがマルチヌーイ分布に従っていると仮定する。また、xiの第j成分をxijと書くことにする。ただし、以下の式で示す性質を満たすとする。このとき、尤度関数は（　あ　）であり、負の対数尤度関数は（　い　）である。（　い　）は情報理論における（　う　）であり、機械学習において損失関数としてよく用いられる。

p = (p₁, …, p_k)ᵀ、 Σ_{j=1}^{k} pⱼ = 1、 0 ≤ pⱼ ≤ 1 (j = 1, …, k)

空欄（　う　）に当てはまる語句を以下のうちから1つ選べ。",,交差エントロピー,正解。負の対数尤度は交差エントロピーと一致し、分類タスクの損失関数として広く使われる。,ジニ不純度,不正解。ジニ不純度は決定木で使われる不純度の指標である。,エントロピー,不正解。エントロピーは単一の分布の平均情報量であり、ここでの負の対数尤度（2つの分布に関わる量）とは異なる。,相互情報量,不正解。相互情報量は2つの確率変数の依存の強さを測る量である。,,,,,,,,,1,負の対数尤度 -Σx log p は、真の分布と予測分布の間の「交差エントロピー」に一致します。交差エントロピーは分類問題の損失関数として広く使われ、予測確率が真のラベルから離れるほど大きな値になります。
14,修了試験A-1,"情報理論に関して、事象xに対して確率pがあるとき、そのエントロピー（平均情報量）の式は（　あ　）である。さらに確率qとしたとき、交差エントロピーの式は（　い　）のように表すことができる。また、確率分布P,Qがあって、確率変数をp(x),q(x)としたとき、r(x)が以下のような式を満たすとすると、KLダイバージェンスDKL(p||q)を表す式は（　う　）となり、JSダイバージェンスDJS(p||q)を表す式は（　え　）となる。

r(x) = (p(x) + q(x)) / 2

空欄（　あ　）に当てはまる式を以下ののうちから選べ。",images/A-1/kl_term_a_formula.png,A,省略,B,省略,C,省略,D,省略,,,,,,,,,2,エントロピー(平均情報量)は H(p) = -Σ p(xᵢ) log p(xᵢ) と定義されます。符号がマイナスなのは、確率pは1以下なのでlog pが負になり、それを打ち消して非負の値にするためです。不確実性が高い(分布が一様に近い)ほどエントロピーは大きくなります。
15,修了試験A-1,"情報理論に関して、事象xに対して確率pがあるとき、そのエントロピー（平均情報量）の式は（　あ　）である。さらに確率qとしたとき、交差エントロピーの式は（　い　）のように表すことができる。また、確率分布P,Qがあって、確率変数をp(x),q(x)としたとき、r(x)が以下のような式を満たすとすると、KLダイバージェンスDKL(p||q)を表す式は（　う　）となり、JSダイバージェンスDJS(p||q)を表す式は（　え　）となる。

r(x) = (p(x) + q(x)) / 2

空欄（　い　）に当てはまる式を以下ののうちから選べ。",images/A-1/kl_term_b_formula.png,A,省略,B,省略,C,省略,D,省略,,,,,,,,,3,"交差エントロピーは H(p,q) = -Σ p(x) log q(x) = -P(x)logQ(x) の形で表され、真の分布pの上で、予測分布qの対数をとって期待値を計算したものです。pとqが完全に一致するとき、交差エントロピーはpのエントロピーと等しくなり最小値を取ります。"
16,修了試験A-1,"情報理論に関して、事象xに対して確率pがあるとき、そのエントロピー（平均情報量）の式は（　あ　）である。さらに確率qとしたとき、交差エントロピーの式は（　い　）のように表すことができる。また、確率分布P,Qがあって、確率変数をp(x),q(x)としたとき、r(x)が以下のような式を満たすとすると、KLダイバージェンスDKL(p||q)を表す式は（　う　）となり、JSダイバージェンスDJS(p||q)を表す式は（　え　）となる。

r(x) = (p(x) + q(x)) / 2

空欄（　う　）に当てはまる式を以下ののうちから選べ。",images/A-1/kl_term_c_formula.png,A,省略,B,省略,C,省略,D,省略,,,,,,,,,1,KLダイバージェンスは DKL(p||q) = Σₓ p(x) log(p(x)/q(x)) と定義されます。2つの確率分布がどれだけ異なるかを測る指標で、p=qのとき0になりますが、対称ではない(DKL(p||q)≠DKL(q||p))という性質を持ちます。
17,修了試験A-1,"情報理論に関して、事象xに対して確率pがあるとき、そのエントロピー（平均情報量）の式は（　あ　）である。さらに確率qとしたとき、交差エントロピーの式は（　い　）のように表すことができる。また、確率分布P,Qがあって、確率変数をp(x),q(x)としたとき、r(x)が以下のような式を満たすとすると、KLダイバージェンスDKL(p||q)を表す式は（　う　）となり、JSダイバージェンスDJS(p||q)を表す式は（　え　）となる。

r(x) = (p(x) + q(x)) / 2

空欄（　え　）に当てはまる式を以下ののうちから選べ。",images/A-1/kl_term_d_formula.png,A,省略,B,省略,C,省略,D,省略,,,,,,,,,3,JS(Jensen-Shannon)ダイバージェンスは、KLダイバージェンスを対称化・有界化したもので、r(x)=(p(x)+q(x))/2を用いて DJS(p||q) = (1/2)Σp(x)log(p(x)/r(x)) + (1/2)Σq(x)log(q(x)/r(x)) の形になります(選択肢内では係数の表現が異なる場合があります)。KLダイバージェンスと違い対称性を持ち、生成モデルの評価などにも用いられます。
18,修了試験A-1,k近傍法を用いて下図のデータaを赤または青に分類したい。k=5のとき、k=9のときのそれぞれでデータaは赤と青のどちらに分類されるか、正しい選択肢を1つ選べ。,images/A-1/knn_scatter_plot.png,k=5：赤　k=9：青,不正解。k=5では最近傍5点のうち青が3点で多数のため「青」、k=9では赤が多数のため「赤」となり、いずれも逆である。,k=5：赤　k=9：赤,不正解。k=5では最近傍5点のうち青が3点で多数のため「青」に分類される。,k=5：青　k=9：赤,正解。k=5では5点中3点が青のため「青」、k=9では9点中5点が赤のため「赤」に分類される。,k=5：青　k=9：青,不正解。k=9では9点中5点が赤のため「赤」に分類される。,,,,,,,,,3,k近傍法では、対象データに最も近いk個の学習データの多数決でクラスを決めます。図では中心aに近い5個のうち青四角が多いためk=5では「青」、範囲を広げてk=9個で見ると赤三角が多数派になるため「赤」と判定されます。kの値によって分類結果が変わりうる点がこのアルゴリズムの特徴です。
19,修了試験A-1,パターン認識のアルゴリズムの説明文として、以下のうち誤っている選択肢を1つ選べ。,,k近傍法においてk=1のとき、最近傍法（1-NN）と呼ばれることがある。,不正解（記述は正しい）。k=1の場合は最近傍法（1-NN）と呼ばれることがある。,kd-treeは2次元のデータ群に用いるアルゴリズムであり、3次元以上のデータ群に用いることができない。,正解（これが誤った記述）。kd-treeは一般のd次元空間に適用できる木構造であり、3次元以上のデータ群にも利用できる。,k近傍法は、新たなデータが与えられたとき、そのデータから近い任意の数k個のデータの中で、最も属するデータが多いクラスに新たなデータを分類するアルゴリズムである。,不正解（記述は正しい）。k近傍法は近いk個のデータの多数決で分類する。,近似最近傍探索とは、近似解を求めることによって計算量を減らすことができる探索法である。,不正解（記述は正しい）。近似最近傍探索は近似解を求めることで計算量を削減する探索法である。,,,,,,,,,2,kd-treeは多次元(2次元に限らず一般のd次元)空間上で最近傍探索を高速化するための木構造のデータ構造で、3次元以上のデータにも問題なく利用できます。ただし次元数が非常に大きくなると「次元の呪い」により効率が落ちることが知られています。したがって「3次元以上に使えない」という記述が誤りです。
20,修了試験A-1,コサイン距離の式とマハラノビス距離の式の組み合わせで正しい選択肢を1つ選べ。,images/A-1/cosine_mahalanobis_formula.png,A,省略,B,省略,C,省略,D,省略,,,,,,,,,4,"コサイン距離(類似度)は Cosine(x,y) = Σxᵢyᵢ / (√Σxᵢ² √Σyᵢ²) で、ベクトルの向きの近さを測ります。マハラノビス距離は d = √((x-μ)ᵀΣ⁻¹(x-μ)) で、変数間の相関(共分散構造)を考慮したユークリッド距離の一般化です。両方とも「転置・逆行列」を正しく使った式の組み合わせが正解になります。"
21,修了試験A-1,距離の計算方法には種類があり、目的に応じて使い分けられている。それぞれの距離の性質や利用事例について、以下のうち正しい選択肢を1つ選べ。,,マンハッタン距離は、2点間の直線距離を求めたいときに用いられる。,不正解。2点間の直線距離を表すのはユークリッド距離であり、マンハッタン距離は座標軸に沿って移動した距離である。,コサイン距離は、単語や文章をベクトル化して類似度を測る場合に用いられる。,正解。コサイン距離はベクトルの向きの近さを測るため、単語や文章のベクトル類似度の評価に使われる。,マンハッタン距離は、異常検知の分野で用いられる最も代表的な距離である。,不正解。異常検知で用いられる代表的な距離は、分布の相関を考慮したマハラノビス距離である。,Lp距離は、データ間の相関を考慮した距離である。,不正解。データ間の相関を考慮するのはマハラノビス距離であり、Lp距離はミンコフスキー距離の一般形である。,,,,,,,,,2,コサイン距離(類似度)はベクトルの「向き」の近さを見るため、文書や単語の埋め込みベクトルのように大きさよりも方向性が意味を持つデータの類似度判定によく使われます(例: TF-IDFベクトルやword2vecの類似度)。マンハッタン距離は座標軸に沿った距離(碁盤目状の移動距離)であり直線距離(ユークリッド距離)とは異なります。
22,修了試験A-1,教師あり学習、教師なし学習について、以下のうち正しい選択肢を1つ選べ。,,教師なし学習における異常検出とは、データの類似性に基づいた潜在的な構造やカテゴリーを検出するタスクであり、代表的なアルゴリズムには、k-平均法、階層的クラスタリングなどがある。,不正解。記述の内容は異常検出ではなく「クラスタリング」の説明である。,教師あり学習における回帰タスクは連続値を予測するタスクであり、代表的なアルゴリズムには、線形回帰、ロジスティック回帰などがある。,不正解。ロジスティック回帰は名前に反して「分類」のアルゴリズムであり、回帰タスクの代表例として不適切。,教師あり学習における分類タスクは離散値を予測するタスクであり、代表的なアルゴリズムには、決定木、サポートベクターマシンなどがある。,正解。分類タスクは離散値（ラベル）を予測するタスクで、決定木やサポートベクターマシンが代表例である。,教師なし学習におけるクラスタリングとは、高次元データを低次元データ空間にマッピングするタスクであり、代表的なアルゴリズムには、主成分分析、t-SNEなどがある。,不正解。高次元データを低次元へマッピングするのは「次元削減」の説明である。,,,,,,,,,3,教師あり学習の分類タスクは、離散的なカテゴリ(ラベル)を予測するタスクで、決定木やサポートベクターマシン、ロジスティック回帰などが代表例です。クラスタリング(教師なし学習)はデータをグループ分けするタスクであり、次元削減(主成分分析やt-SNE)とは目的が異なる点に注意が必要です。
23,修了試験A-1,"教師あり学習アルゴリズムとして、木構造を利用した決定木と呼ばれるものがある。
このアルゴリズムの特徴として、不適切な選択肢を1つ選べ。",,訓練データに過適合しないように、ノードに割り当てられたデータが少なくなりすぎないように制限する。,不正解（記述は正しい）。過適合を防ぐため、ノードに割り当てられるデータ数が少なくなりすぎないよう制限する。,データを分割する際には、分割後のノードが持つデータの不純度が小さくなるように分割する。,不正解（記述は正しい）。分割後の不純度が小さくなるように分割する。,不純度を表す指標として、エントロピーやジニ不純度を用いる。,不正解（記述は正しい）。不純度の指標としてエントロピーやジニ不純度が用いられる。,分類タスクのみに適用できるアルゴリズムである。,正解（これが誤った記述）。決定木は分類だけでなく回帰（回帰木）にも適用できる。,,,,,,,,,4,決定木は分類だけでなく回帰にも適用できるアルゴリズム（回帰木）であり、「分類タスクのみに適用できる」という記述が不適切です。過適合を防ぐためにノードに割り当てられるデータ数が少なくなりすぎないよう制限すること、分割後の不純度が小さくなるように分割すること、不純度の指標としてエントロピーやジニ不純度を用いることは、いずれも決定木の正しい説明です。
24,修了試験A-1,半教師あり学習について、以下のうち正しい選択肢を1つ選べ。,,大量の教師ありデータと、少量の教師なしデータを使って学習する方法である。,不正解。半教師あり学習は「少量の教師ありデータ」と「大量の教師なしデータ」を使うのが一般的で、量の関係が逆である。,半教師あり学習における多様体の仮定では、近いポイントにあるデータ同士は、ラベルを共有する可能性が高くなると想定できる。,不正解。近い点同士がラベルを共有しやすいというのは「平滑性の仮定」であり、多様体の仮定はデータが低次元多様体上に分布するという仮定である。,半教師あり分類学習では、教師ありデータから分類器を作り、それを使って教師なしデータにラベルを付ける。,正解。教師ありデータで分類器を作り、それを使って教師なしデータに（疑似）ラベルを付けるのが半教師あり分類学習の基本である。,半教師ありクラスタリングには、「ラベルプロパゲーション」や「Self-Training」と呼ばれる手法などがある。,不正解。ラベルプロパゲーションやSelf-Trainingは半教師あり「分類」の代表的手法である。,,,,,,,,,3,半教師あり学習の代表的な手法の一つに、少量のラベル付きデータで学習した分類器を使い、大量のラベルなしデータに疑似ラベルを付与して再学習する「自己学習(Self-Training)」があります。半教師あり学習は一般に「少量の教師ありデータ」と「大量の教師なしデータ」を組み合わせる手法であり、「大量の教師ありデータと少量の教師なしデータを使う」という記述はこの割合が逆になっています。
25,修了試験A-1,半教師あり学習の主な手法について、以下のうち最も不適切な選択肢を1つ選べ。,,半教師ありクラスタリングは、クラスタリングの問題を解くために大量のラベル付きデータと少量のラベルなしデータを使用して、新しいクラスタセグメントを見つけ出すための手法である。,正解（最も不適切）。半教師あり学習では「少量のラベル付きデータ」と「大量のラベルなしデータ」を使うのが一般的で、量の関係が逆である。,自己学習（Self-Training）は、ラベル付きデータセットを使用して学習を行い、ラベルなしデータセットを分類するための手法である。,不正解（記述は妥当）。自己学習はラベル付きデータで学習したモデルでラベルなしデータを分類（疑似ラベル付け）する手法である。,グラフベースの手法では、ラベル付きデータとラベルなしデータを組み合わせて、データ間の関係をグラフとして表現し、このグラフ上でラベル情報を伝播させる。,不正解（記述は妥当）。グラフベース手法はデータ間の関係をグラフ化しラベル情報を伝播させる。,共訓練（Co-Training）は、データセットを複数の異なるビュー（データの異なる側面や特徴）に分割し、それぞれのビューを利用して、ラベル付きデータセットを基に複数の教師付き分類器を生成する手法である。,不正解（記述は妥当）。共訓練は複数のビューごとに分類器を作り互いに利用する手法である。,,,,,,,,,1,半教師あり学習は一般に「少量のラベル付きデータ」と「大量のラベルなしデータ」を組み合わせる手法です。半教師ありクラスタリングの説明で「大量のラベル付きデータと少量のラベルなしデータを使用する」としている記述はこの割合が逆になっており、最も不適切です。自己学習（Self-Training）・グラフベースの手法・共訓練（Co-Training）の説明はいずれも妥当な内容です。
26,修了試験A-1,"バイアスとバリアンスのトレードオフについて、単純なモデルほどバイアスが（　あ　）傾向にあり、複雑なモデルほどバリアンスが（　い　）傾向がある。

（　あ　）（　い　）の組み合わせとして、以下のうち正しい選択肢を1つ選べ。",,（あ）低い　（い）低い,不正解。単純なモデルはバイアスが「高い」傾向にある。,（あ）高い　（い）低い,不正解。複雑なモデルはバリアンスが「高い」傾向にある。,（あ）低い　（い）高い,不正解。（あ）（い）とも逆である。,（あ）高い　（い）高い,正解。単純なモデルほどバイアスが高く、複雑なモデルほどバリアンスが高い。,,,,,,,,,4,単純すぎるモデルはデータの構造を十分表現できず「バイアス」が高くなり(未学習・過小適合)、逆に複雑すぎるモデルは訓練データに過剰に適合し、データが変わるたびに予測が大きく変動する「バリアンス」が高くなります(過学習・過剰適合)。これがバイアス・バリアンスのトレードオフです。
27,修了試験A-1,"ベルマンは、未知の複雑な関数を学習によって得るために必要となるデータ数が、次元の増加に対して、（　あ　）的に増加することを指摘した。これは次元の呪いと呼ばれ、そのひとつとして、高次元空間ではデータのほとんどが超球面上に分布してしまう球面集中現象が起こる。次元の呪いを回避するために、使用する特徴量を最適化する（　い　）やデータを低次元空間へ変換する次元削減などが有効である。

（　あ　）（　い　）の組み合わせとして、以下のうち正しい選択肢を1つ選べ。",,（あ）1次関数　（い）ベイズ最適化,不正解。必要データ数は次元に対して「指数関数」的に増加する。（い）も特徴量選択が適切。,（あ）1次関数　（い）特徴量選択,不正解。必要データ数は1次関数ではなく「指数関数」的に増加する。,（あ）指数関数　（い）ベイズ最適化,不正解。使用する特徴量を最適化する手法は「特徴量選択」である。,（あ）指数関数　（い）特徴量選択,正解。データ数は指数関数的に増加し（次元の呪い）、対策として特徴量選択や次元削減が有効である。,,,,,,,,,4,次元の呪いでは、必要なデータ数は次元数に対して「指数関数」的に増加するとされています。対策としては、意味のある特徴量だけを残す「特徴量選択」や、主成分分析のような次元削減手法が代表的です。
